date,portfolio_return,equity,market_state
2022-06-17,-0.0036711636881595956,2673581.488212183,BEAR
2022-06-24,0.011128483651905772,2703334.39609579,BEAR
2022-07-01,0.022137141566858216,2763178.4923247197,BEAR
2022-07-08,-0.0029259313693846636,2755093.621694817,BEAR
2022-07-15,0.0058704995615241175,2771267.397592935,BEAR
2022-07-22,-0.0018911803949393415,2766026.431021473,CHOP
2022-07-29,-0.011328069757693663,2734692.690659237,CHOP
2022-08-05,0.014241504233270069,2773638.828189953,CHOP
2022-08-12,0.012613099743522947,2808623.011382421,CHOP
2022-08-19,0.006424826006781797,2826667.925549197,CHOP
2022-08-26,0.010520719869217413,2856406.5069572018,CHOP
2022-09-02,0.038964701155046966,2967705.532878121,BULL
2022-09-09,0.005059234387158586,2982719.850761018,BULL
2022-09-16,-0.05659675533209051,2813907.5851433277,BULL
2022-09-23,-0.07760544173568742,2595533.043994878,BULL
2022-09-30,0.028058683949390064,2668360.285356529,CHOP
2022-10-07,0.005132158206222275,2682054.7324921787,BULL
2022-10-14,0.0011420812595804993,2685117.8569393274,CHOP
2022-10-21,0.010953522872388804,2714529.356800372,CHOP
2022-10-28,0.00042251950805339005,2715676.2984088035,CHOP
2022-11-04,-0.025590996218292,2646179.436526119,BULL
2022-11-11,-0.0109741060550638,2617139.982748952,BULL
2022-11-18,0.0013394602444274815,2620645.537709946,CHOP
2022-11-25,0.004888329296172314,2633456.1160668167,CHOP
2022-12-02,0.021322089516243942,2689606.9031106937,BULL
2022-12-09,-0.01750281225209969,2642531.218453596,BULL
2022-12-16,-0.07153553607062123,2453496.3311581663,BULL
2022-12-23,0.018462300432674397,2498793.5175344725,CHOP
2022-12-30,0.004758309562887828,2510683.550624639,BULL
2023-01-06,-0.022845376978285516,2453326.0384374387,BULL
2023-01-13,0.005173541763076376,2466018.423155737,BULL
2023-01-20,-0.01814784411284289,2421265.5052329083,BULL
2023-01-27,-0.009462125280472498,2398355.187685108,CHOP
2023-02-03,-0.0009392758127195996,2396102.470667005,CHOP
2023-02-10,0.0003452592710788444,2396929.7472594576,CHOP
2023-02-17,-0.011088626251277997,2370351.0891415267,CHOP
2023-02-24,-0.0013214181926877882,2367218.8640892776,CHOP
2023-03-03,0.0032063369743791535,2374808.9654596546,CHOP
2023-03-10,-0.008440858994604367,2354763.5378430877,CHOP
2023-03-17,-0.006043496355827269,2340532.532983298,BEAR
2023-03-24,0.0027054606243368316,2346864.7515912633,BEAR
2023-03-31,0.012541491351553127,2376297.9355766103,BEAR
2023-04-21,0.006225370606048735,2391091.270895963,CHOP
2023-04-28,0.008754255216888863,2412023.494128261,CHOP
2023-05-05,0.005133713137124854,2424406.130827122,CHOP
2023-05-12,0.008609920849872634,2445280.0757214893,CHOP
2023-05-19,0.013883715563870249,2479229.648766806,CHOP
2023-05-26,0.03551468951965031,2567278.7199906707,BULL
2023-06-02,0.04862109940874346,2692102.633845289,BULL
2023-06-09,0.05737511007820626,2846562.318803991,BULL
2023-06-16,0.009467993293328094,2873513.5517474683,BULL
2023-06-23,-0.00847486866040504,2849160.901802514,BULL
2023-06-30,0.026287825726230302,2924059.147055088,BULL
2023-07-07,0.0208280702713405,2984961.6564475074,BULL
2023-07-14,0.019809958363959462,3044093.6225797483,BULL
2023-07-21,0.03351638047575634,3146120.622637955,BULL
2023-07-28,0.02510907052642584,3225116.787236414,BULL
2023-08-04,0.02411287100609154,3302883.6123066265,BULL
2023-08-11,-0.015013012747327676,3253297.3785321275,BULL
2023-08-18,0.03626053161212852,3371263.670970046,BULL
2023-08-25,0.03661188376804501,3494691.9846430337,BULL
2023-09-01,0.06292684890133526,3714601.9391173734,BULL
2023-09-08,0.010702362887878507,3754356.9570538243,BULL
2023-09-15,-0.023210831598176152,3667215.209964207,BULL
2023-09-22,-0.0019203690140779594,3660172.803507036,BULL
2023-09-29,-0.002344092414046183,3651593.020204237,BULL
2023-10-06,0.018207160274792356,3718078.159581409,BULL
2023-10-13,0.04199140654440632,3874205.4911442697,BULL
2023-10-20,-0.06801114387268939,3610716.3440936934,BULL
2023-10-27,0.052268877092534805,3799444.4328991333,BULL
2023-11-03,0.01853912355836968,3869882.80269381,BULL
2023-11-10,0.05903660940335215,4098347.5621531936,BULL
2023-11-17,0.00037135472263743395,4099869.5028754086,BULL
2023-11-24,-0.006472966629253255,4073331.184399003,BULL
2023-12-01,0.019170085129173866,4151417.28996325,BULL
2023-12-08,0.009569100219085603,4191142.6180621535,BULL
2023-12-15,-0.03969356926626659,4024781.208247302,BULL
2023-12-22,0.01032387426921836,4066332.5434023603,BULL
2023-12-29,0.05301148604375481,4281894.8742762,BULL
2024-01-05,0.013220792396994608,4338504.917474762,BULL
2024-01-12,-0.020199604225063925,4250868.8352132775,BULL
2024-01-19,0.050817708708358646,4466888.249438586,BULL
2024-02-02,-0.022457226282939356,4366574.32924034,BULL
2024-02-09,-0.06663435968071857,4075610.4448131467,BULL
2024-02-16,0.049267869659580715,4276407.088991427,BULL
2024-02-23,-0.01048552987235928,4231566.694713438,BULL
2024-03-01,-0.08275731638673717,3881373.590947458,BULL
2024-03-15,0.015251948106004212,3940572.0995366042,BULL
2024-03-22,0.058372936140599095,4170594.863060281,BULL
2024-04-05,0.013429981412749955,4226605.874551291,BULL
2024-04-12,-0.01098826687460708,4180162.8012279393,BULL
2024-04-19,0.05445956447518237,4407812.646818171,BULL
2024-04-26,0.030595626064247997,4542672.434321484,BULL
2024-05-03,-0.0680334036354264,4233618.967013765,BULL
2024-05-10,0.06398030646151576,4504487.205964591,BULL
2024-05-17,-0.0017875117378730674,4496435.382210831,BULL
2024-05-24,-0.016285967576830016,4423206.581364834,BULL
2024-05-31,0.019792480407104553,4510752.810963074,BULL
2024-06-07,0.05497664393231256,4758738.862118069,BULL
2024-06-14,0.052691759744994175,5009485.18692996,BULL
2024-06-21,-0.0007831614417745147,5005561.951288416,BULL
2024-06-28,0.042711970858989284,5219359.367484713,BULL
2024-07-05,0.012806505943300258,5286201.124244626,BULL
2024-07-12,-0.0024588292578504884,5273203.258257451,BULL
2024-07-19,0.012825655774260902,5340835.548075572,BULL
2024-07-26,0.0037358656300161756,5360788.192035196,BULL
2024-08-02,-0.007233207278833352,5322012.499864283,BULL
2024-08-09,-0.029182730132663887,5166701.64531808,BULL
2024-08-16,0.05472229912064718,5449435.438220316,BULL
2024-08-23,-0.0008851913822962092,5444611.644932022,BULL
2024-08-30,0.08602504815485469,5912984.623871784,BULL
2024-09-06,-0.01863764485678162,5802780.516408451,BULL
2024-09-13,-0.005194991719653075,5772635.119674744,BULL
2024-09-20,0.04748591756301844,6046753.995089004,BULL
2024-09-27,0.005091675651369198,6077542.105175619,BULL
2024-10-04,-0.022266431461803383,5942216.930434501,BULL
2024-10-11,-0.022225420920998235,5810148.657951713,BULL
2024-10-18,-0.04352314531146095,5557272.71363049,BULL
2024-10-25,-0.004809536875256225,5530544.805588429,BULL
2024-11-01,0.005752181451323038,5562357.502834845,BULL
2024-11-08,-0.03362395388477387,5375329.0506689,BULL
2024-11-22,0.001667872104776365,5384294.412046504,CHOP
2024-11-29,0.045793559573537,5630860.418966019,BULL
2024-12-06,0.02626152087667838,5778735.377412356,BULL
2024-12-13,0.030599721230899993,5955563.069028314,BULL
2024-12-20,-0.03208074464690503,5764504.170982279,BULL
2024-12-27,0.0024526438835869,5778642.446879149,CHOP
2025-01-03,-0.03451432041654651,5579196.529894905,BULL
2025-01-10,-0.018728178208041835,5474708.343025344,CHOP
2025-01-17,-0.008921652954312744,5425864.895162792,CHOP
2025-01-24,-0.007519266238729185,5385066.372440688,CHOP
2025-01-31,0.011663952286207055,5447877.529666894,BEAR
2025-02-07,-0.024075140336664805,5316719.113603202,CHOP
2025-02-14,-0.013920608377731798,5242707.148968331,BEAR
2025-02-21,0.0006638248704116422,5246187.3883621,BEAR
2025-02-28,0.0016573286185516316,5254882.044859119,BEAR
2025-03-07,0.03143138281317542,5420050.254049167,BEAR
2025-03-21,-0.004163195768724223,5397485.523765237,BEAR
2025-03-28,-0.003240325667077587,5379995.912884901,BEAR
2025-04-04,-0.014613753362645915,5301373.979521957,BEAR
2025-04-11,0.013556513614717242,5373242.128052056,BEAR
2025-04-25,-0.008474609985745746,5327705.996657835,CHOP
2025-05-02,-0.024420544341509504,5197600.516127926,CHOP
2025-05-09,0.019532657902048597,5299123.468920964,CHOP
2025-05-16,0.004269350185305851,5321747.282684961,CHOP
2025-05-23,0.0024110567140195214,5334578.3172011925,CHOP
2025-05-30,0.013112590486526781,5404528.458092958,CHOP
2025-06-06,-0.01429320879756254,5327280.404389066,CHOP
2025-06-13,-0.003136782585982934,5310569.88398593,CHOP
2025-06-20,0.00679975796545344,5346680.47385566,CHOP
2025-06-27,-0.01024017945156981,5291929.506333174,CHOP
